Source,Date,Make,Type,YOM,Model,Price,URL
Ikman,2025-12-05,Toyota,vans,2015,KDH,17800000,https://ikman.lk/en/ad/toyota-kdh-gl-2015-for-sale-colombo-189
Riyasewana,2025-12-06,toyota,cars,,Toyota Axio Hybrid 2014 Car,9200000,https://riyasewana.com/buy/toyota-axio-hybrid-sale-kottawa-10844537
Patpat,2025-12-06,toyota,cars,1998,starlet,4450000,https://patpat.lk/en/ad/vehicle/toyota-starlet-1998-211783
Ikman,2025-12-05,Toyota,vans,2007,KDH,18000000,https://ikman.lk/en/ad/toyota-kdh-super-gl-trh-200-2007-for-sale-colombo-49
Riyasewana,2025-12-06,toyota,cars,,,12500000,https://riyasewana.com/buy/toyota-premio-g-sale-minuwangoda-10851433
Ikman,2025-12-05,Toyota,vans,2011,KDH,18500000,https://ikman.lk/en/ad/toyota-kdh-high-roof-2011-for-sale-colombo-89
Ikman,2025-12-05,Toyota,vans,2014,KDH,22500000,https://ikman.lk/en/ad/toyota-kdh-201v-super-gl-2014-for-sale-gampaha-3
Ikman,2025-12-05,Toyota,vans,2023,KDH,27950000,https://ikman.lk/en/ad/toyota-kdh-223b-high-roof-2023-for-sale-anuradhapura-2
Patpat,2025-12-06,toyota,cars,1998,starlet,4450000,https://patpat.lk/en/ad/vehicle/toyota-starlet-1998-211783
Patpat,2025-12-06,toyota,cars,1997,corolla,5500000,https://patpat.lk/en/ad/vehicle/toyota-corolla-1997-211773
Patpat,2025-12-06,toyota,cars,1998,starlet,4450000,https://patpat.lk/en/ad/vehicle/toyota-starlet-1998-211783
Riyasewana,2025-12-06,toyota,cars,,Toyota Vitz Safety KPS 130 2016 Car,6975000,https://riyasewana.com/buy/toyota-vitz-safety-sale-gampaha-10851399
Riyasewana,2025-12-06,toyota,cars,,Toyota Vitz 2009 Car,5600000,https://riyasewana.com/buy/toyota-vitz-sale-pannala-10851403
Ikman,2025-12-04,Toyota,vans,2025,Hiace,28000000,https://ikman.lk/en/ad/toyota-hiace-2025-for-sale-colombo-12
Riyasewana,2025-12-06,toyota,cars,,,5600000,https://riyasewana.com/buy/toyota-vitz-sale-pannala-10851403
Ikman,2025-12-05,Toyota,vans,1990,Dolphin,6750000,https://ikman.lk/en/ad/toyota-dolphin-super-custom-1990-for-sale-kandy-1
Patpat,2025-12-06,toyota,cars,1997,corolla,5500000,https://patpat.lk/en/ad/vehicle/toyota-corolla-1997-211773
Ikman,2025-12-04,Toyota,vans,1994,Dolphin,9200000,https://ikman.lk/en/ad/toyota-dolphin-high-roof-1994-for-sale-gampaha-1
